CID_____	CRPName___	Party	DistIDRunFor	FECCandID
N00034296	Aalders, Tim	R	UTS1	S2UT00229
N00034306	Aanestad, Samuel	R	CA01	H2CA01110
N00033243	Abarr, John Allen	R	MT01	H2MT00039
N00034250	Aboud, Paula	D	AZ02	H2AZ02279
N00001143	Ackerman, Gary	D	NY06	H4NY07011
N00034267	Ackerman, Michael	D	KY05	H2KY05144
N00034493	Acosta, Dante	R	CA25	H2CA25176
N00034924	Adams Jr, Eddie	R	FL14	H2FL14202
N00034307	Adams, Anthony	I	CA08	H2CA08180
N00032432	Adams, John	R	OH03	H0OH15099
N00033199	Adams, Kirk	R	AZ05	H2AZ06148
N00030926	Adams, Sandy	R	FL07	H0FL24049
N00033276	Adams, Susan	D	CA02	H2CA06275
N00033086	Addison, Glenn	R	TXS2	S2TX00320
N00034889	Addivinola, Frank	R	MA05	H2MA05120
N00032652	Aden, Doug	3	CO04	H0CO04148
N00033502	Aden, Ken	D	AR03	H2AR03234
N00003028	Aderholt, Robert B	R	AL04	H6AL04098
N00034300	Adkins, Bill	D	KY04	H2KY04139
N00033206	Adler, Daniel	D	CA36	H2CA36348
N00034344	Adler, Shelley	D	NJ03	H2NJ03183
N00034061	Afzali, Kathy	R	MD06	H2MD06229
N00033907	Agana, Marisha	R	OH13	H2OH13199
N00033165	Agbede, Akinyemi	R	FLS1	S2FL00235
N00034740	Agris, Joe	R	TXS2	S2TX00460
N00033463	Aguilar, Greg	D	IL17	H2IL17097
N00033997	Aguilar, Pete	D	CA31	H2CA31125
N00034379	Aguirre, Amanda	D	AZ03	H2AZ03137
N00014086	Ahmad, Dean	L	MDS1	S8MD00088
N00033647	Ahmed, Saba	D	OR01	H2OR01141
N00008433	Ajabu, Mmoja	I	IN07	H6IN10174
N00007653	Akaka, Daniel K	D	HIS2	S0HI00084
N00033583	Akhlaghi, Banafsheh	D	CA02	H2CA02134
N00009677	Akin, Todd	R	MOS2	S2MO00429
N00009677	Akin, Todd	R	MOS2	S2MO00429
N00034811	Akin, William Ryan	I	TN07	H2TN07186
N00033916	Alameel, David	D	TX33	H2TX06152
N00034607	Albertsen, Dennis L	R	CA08	H2CA08198
N00034378	Alegria, Samuel	D	AZ03	H2AZ03129
N00032827	Alexander, Joseph	R	MDS1	S2MD00453
N00009888	Alexander, Lamar	R	TNS2	S2TN00058
N00033531	Alexander, Matt	D	NY18	H2NY19085
N00025464	Alexander, Rodney	R	LA05	H2LA05084
N00034657	Ali, Kabiruddin Karim	3	CAS2	S2CA00815
N00034213	Allen, Addie Dainell	D	TXS2	S2TX00403
N00032629	Allen, Charles	D	WA07	H2WA07093
N00032706	Allen, Craig	I	OK01	H0OK01113
N00009957	Allen, George	R	VAS1	S8VA00214
N00034411	Allen, Jim	R	NC04	H2NC04093
N00033720	Allen, Richard W	R	GA12	H2GA12121
N00032240	Allen, Rick	R	GA02	H0GA02241
N00034229	Allen, Robert	R	MS03	H2MS03110
N00033762	Alomar, Rafael Cox	D	PR00	H2PR00065
N00027664	Altmire, Jason	D	PA12	H6PA04110
N00031058	Altschuler, Randy	R	NY01	H0NY01129
N00034147	Alvarado, Maria Luisa	D	TX35	H2TX35045
N00028649	Alzona, Gus	R	MD08	H6MD08432
N00031938	Amash, Justin	R	MI03	H0MI03126
N00031177	Amodei, Mark	R	NV02	H2NV02395
N00034559	Amouzouvik, Credo	D	TN07	H2TN07178
N00028772	Amsterdam, C Kaui Jochanan	R	HI01	H8HI01176
N00033253	Anders, Greg	R	WA02	H2WA02169
N00033090	Anderson, David C	I	CO05	H2CO05059
N00033885	Anderson, Dennis	D	IL14	H2IL14078
N00034544	Anderson, Diana	R	NV04	H2NV04052
N00034372	Anderson, Erik	D	NC03	H2NC03087
N00034835	Anderson, Fred R	R	TNS1	S2TN00306
N00033786	Anderson, Glenn	D	MI13	H2MI13121
N00034909	Anderson, Jack	L	AZ06	H2AZ06189
N00034299	Anderson, Jason	R	IN05	H2IN05124
N00033874	Anderson, Jason	R	AL05	H2AL05086
N00033349	Anderson, Jeff	D	MN08	H2MN08103
N00032090	Anderson, John	R	OH10	H2OH10211
N00033519	Anderson, Lee Ivey	R	GA12	H2GA12105
N00034528	Anderson, Paul	R	NE02	H2NE02090
N00033082	Anderson, Russell Paul	I	NES1	S2NE00086
N00034444	Andrade, Joe	I	UT02	H2UT02381
N00033886	Andrews, Greg	R	IN02	H2IN02220
N00033120	Andrews, Phillip	D	TX07	H2TX07028
N00000826	Andrews, Robert E	D	NJ01	H0NJ01066
N00000826	Andrews, Robert E	D	NJ01	H0NJ01066
N00027581	Angle, Sharron	R	NV02	H6NV02172
N00028535	Antenori, Frank	R	AZ02	H6AZ08129
N00033385	Archer, John H Jr	R	IA02	H2IA02053
N00034847	Arentz, Eric G Jr	3	WA06	H2WA06152
N00033514	Argenziano, Nancy	3	FL02	H2FL02082
N00033659	Arnold, Jack Todd	I	TN07	H2TN07160
N00034018	Arnold, Joe	R	FL17	H2FL16082
N00030295	Arnold, Keith	D	WA08	H8WA08080
N00033403	Arnold-Jones, Janice E	R	NM01	H2NM01128
N00034251	Arreguin, Juan Manuel	D	AZ03	H2AZ03111
N00007597	Arrowsmith, Nathan L	D	CA01	H4CA03054
N00034643	Arvanites, John	D	NJ11	H2NJ11111
N00033710	Arwood, Joe	R	MNS2	S2MN00233
N00034217	Ash, Dale	R	UTS1	S2UT00203
N00027534	Ashdown, Pete	D	UTS1	S6UT00139
N00034426	Assad, Mike	R	NJ02	H2NJ02128
N00034980	Astor, Craig	L	KY02	H2KY02109
N00033049	Atkinson, John M	D	IL03	H2IL03105
N00033739	Aubuchon, Gary	R	FL19	H2FL14145
N00025702	Auerbach, Bob S	3	MD05	H2MD05445
N00029412	Austria, Steve	R	OH10	H8OH07065
N00033118	Avakian, Brad	D	OR01	H2OR01109
N00033546	Aycock, Elmo	D	TX34	H2TX34014
N00030980	Ayotte, Kelly	R	NHS1	S0NH00235
N00034013	Ayres, Darren	R	FL13	H2FL10143
N00033731	Babeu, Paul	R	AZ04	H2AZ04127
N00007089	Baca, Joe	D	CA35	H6CA42099
N00027493	Bachmann, Michele	R	MN06	H6MN06074
N00027493	Bachmann, Michele	R	MN06	H6MN06074
N00008091	Bachus, Spencer	R	AL06	H2AL06035
N00034489	Bacigalupi, Debbie	R	CA14	H2CA14139
N00034281	Badey, George	D	PA07	H2PA07070
N00034775	Baechler, Mary	D	WA04	H2WA04124
N00034228	Bailey, Charles	D	MD06	H2MD06203
N00033621	Bailey, Derek J	D	MI01	H2MI01118
N00031484	Bailey, Harold	D	IL01	H0IL01152
N00033975	Bailey, Penny	D	AL06	H2AL06142
N00034510	Baird, John	R	ID02	H2ID02158
N00032313	Baker, James O	R	MO02	H0MO09143
N00030345	Baker, Martin	R	MO01	H0MO01140
N00032761	Baker, Will	I	WAS1	S0WA00399
N00028987	Balam, Joel	L	KS03	H8KS03056
N00033235	Baldenegro, Wenona Benally	D	AZ01	H2AZ01271
N00033172	Balderas, Hector	D	NMS1	S2NM00096
N00004367	Baldwin, Tammy	D	WIS1	S2WI00219
N00004367	Baldwin, Tammy	D	WIS1	S2WI00219
N00034902	Baldwin, Willaim Bret	I	TX27	H2TX27257
N00034259	Ball, Matt	R	CO07	H2CO07139
N00033282	Baqai, Farah S	D	IL03	H2IL03113
N00033981	Barber, Ron	D	AZ02	H2AZ08094
N00025804	Bardel, Hank	3	NY11	H2NY13062
N00033200	Barkley, Mike	D	CA10	H2CA00096
N00025495	Barletta, Lou	R	PA11	H2PA11098
N00033476	Barlow, Pam	R	TX13	H2TX13075
N00033627	Barnes, Brian	D	MN03	H2MN03070
N00032120	Barnes, William	D	AL06	H2AL06159
N00034328	Barnett, Thomas	D	IN08	H2IN08128
N00034885	Barnhart, Scott	D	KS02	H2KS02127
N00031233	Barr, Andy	R	KY06	H0KY06104
N00006236	Barrasso, John A	R	WYS1	S6WY00068
N00033864	Barrie, Jon	I	NMS1	S2NM00112
N00028301	Barron, Charles	D	NY08	H6NY00060
N00033784	Barron, William Currie	I	UTS1	S2UT00187
N00026080	Barrow, John	D	GA12	H4GA12010
N00033467	Barry, Daniel B	R	NC09	H2NC08169
N00033416	Barth, Jeff	D	SD01	H2SD01033
N00002017	Bartlett, Roscoe G	R	MD06	H2MD06054
N00005656	Barton, Joe	R	TX06	H4TX06117
N00000423	Bass, Charles	R	NH02	H0NH02017
N00031877	Bass, Karen	D	CA37	H0CA33117
N00033241	Bates Jr, Don	R	IN06	H2IN06171
N00004643	Baucus, Max	D	MTS2	S8MT00010
N00033656	Bauer, Andre	R	SC07	H2SC00020
N00034927	Baumann, Tom	I	FL17	H2FL17080
N00033716	Baumgartner, Michael	R	WAS1	S2WA00288
N00033522	Bavda, Vivek	D	IL10	H2IL10084
N00031154	Bayne, Floyd C	R	VA07	H0VA07075
N00034905	Beasley, Heath	3	HIS2	S2HI00122
N00034810	Beasley, Scott	I	TN06	H2TN06121
N00033973	Beason, Scott	R	AL06	H2AL06126
N00033904	Beatty, Joyce	D	OH03	H2OH03125
N00034794	Beavan, Colin	3	NY08	H2NY08138
N00030921	Beaven, Heather Maurine	D	FL06	H0FL07077
N00034248	Bebo, Donna	D	OK04	H2OK04139
N00009774	Becerra, Xavier	D	CA34	H2CA30143
N00034088	Beck, Eric	R	NJ12	H2NJ12119
N00008936	Beck, Jerry G	R	MOS2	S0MO00241
N00032702	Becker, Francis X Jr	R	NY04	H0NY04099
N00033408	Becker, Richard H	D	NY18	H2NY19077
N00034073	Bedwell, Danny	L	MS01	H2MS01114
N00029901	Begich, Mark	D	AKS1	S8AK00090
N00034623	Bell, Rex	L	IN06	H2IN06270
N00033818	Bellamy, Terry	D	NC10	H2NC10090
N00030061	Bellavia, David C	R	NY27	H8NY26087
N00034793	Bellone, Alan	R	NY08	H2NY08120
N00032743	Beloin, Gerald	R	NH02	H2NH02179
N00034136	Beltz, Ernie Jr	R	TX25	H2TX10097
N00033802	Bembry, Leonard	D	FL02	H2FL02116
N00034848	Bemis, Ron	R	WA07	H2WA07101
N00031934	Benishek, Dan	R	MI01	H0MI01088
N00030608	Bennet, Michael F	D	COS1	S0CO00211
N00033239	Bennett, Mike	R	FL11	H2FL11083
N00034345	Bennett, Patricia A	D	NJ04	H2NJ04157
N00034601	Bennett, Rick	R	MES1	S2ME00125
N00033799	Bennett, Steve	D	CA26	H2CA26075
N00031360	Benning, David	R	CA33	H0CA30089
N00012869	Benoit, Michael	L	CA50	H0CA52018
N00033625	Bentivolio, Kerry	R	MI11	H2MI11133
N00033221	Benton, C Dan	R	FL19	H2FL14103
N00030717	Bera, Ami	D	CA07	H0CA03078
N00031629	Berg, Rick	R	NDS2	S2ND00073
N00031629	Berg, Rick	R	NDS2	S2ND00073
N00034007	Bergeron, Douglas	R	CO05	H2CO05083
N00032405	Bergmann, Charlotte	R	TN09	H0TN09061
N00009818	Berkley, Shelley	D	NVS1	S2NV00209
N00009818	Berkley, Shelley	D	NVS1	S2NV00209
N00008094	Berman, Howard L	D	CA30	H2CA26026
N00030735	Bernier, Justin	R	CT05	H0CT05119
N00034332	Bernier, Nicholas	D	MA04	H2MA04081
N00010946	Berns, Jim	L	OH01	H2OH01020
N00034839	Berry, Brian	D	WA01	H2WA01187
N00031581	Berry, Tom	D	TX05	H0TX05091
N00031994	Best, Russell	3	NV02	H0NV02167
N00034724	Bhalla, Ron	R	TN03	H2TN03169
N00031271	Bias, Lee	R	WV03	H0WV03102
N00034402	Bibbs, James	D	NC02	H2NC02212
N00034402	Bibbs, James	D	NC02	H2NC02212
N00033805	Bicknell, Hunter	R	GA09	H2GA09168
N00031747	Bielat, Sean D	R	MA04	H0MA04127
N00004762	Biggert, Judy	R	IL11	H8IL13069
N00034075	Biggs, Crystal	D	MS03	H2MS03102
N00006981	Bilbray, Brian P	R	CA52	H4CA49032
N00027462	Bilirakis, Gus	R	FL12	H6FL09070
N00032325	Billack, Blase	R	NJ09	H0NJ08103
N00034464	Bills, Kurt	R	MNS2	S2MN00266
N00034243	Bilyeu, Sheila	D	AZS2	S2AZ00273
N00006518	Bingaman, Jeff	D	NMS1	S2NM00021
N00025292	Bishop, Rob	R	UT01	H2UT01094
N00002674	Bishop, Sanford D Jr	D	GA02	H2GA02031
N00025413	Bishop, Timothy H	D	NY01	H2NY01067
N00033440	Bivens, Don	D	AZS2	S2AZ00182
N00034010	Black, Bob	R	FL04	H2FL04120
N00031698	Black, Charles Roland	R	AZ08	H0AZ02141
N00031539	Black, Diane	R	TN06	H0TN06257
N00030082	Black, Philip H	R	SC02	H8SC02098
N00003105	Blackburn, Marsha	R	TN07	H2TN06030
N00033170	Blagmon, Raymond	D	MDS1	S2MD00362
N00034008	Blaha, Robert	R	CO05	H2CO05091
N00003601	Blanchard, Dale	D	OH14	H6OH11103
N00033924	Blanchard, Denise Saenz	D	TX34	H2TX27158
N00034400	Blas, Frank Flores Jr	R	GU00	H2GU00066
N00031146	Blatt, Doug	D	TX22	H0TX22104
N00034953	Bleming, Thomas	R	WYS1	S2WY00117
N00031157	Bliss, Rusty	R	OHS1	S2OH00162
N00034495	Bloomfield, Bill	I	CA33	H2CA33147
N00033744	Blum, Rod	R	IA01	H2IA01055
N00007727	Blumenauer, Earl	D	OR03	H6OR03064
N00031685	Blumenthal, Richard	D	CTS2	S0CT00177
N00005195	Blunt, Roy	R	MOS1	S0MO00183
N00005195	Blunt, Roy	R	MOS1	S0MO00183
N00026756	Bly, Ray	R	MD02	H8MD07042
N00033045	Bobko, Kit	R	CA36	H2CA36298
N00029161	Boccieri, John A	D	OH16	H8OH16058
N00034786	Boda, Muir Wayne	L	MD01	H2MD01170
N00003675	Boehner, John	R	OH08	H0OH08029
N00034899	Boisclair, Gary	D	MN05	H2MN05141
N00034038	Bojovic, Bronco	I	IL16	H2IL16040
N00028427	Boland, Mike	D	IL17	H6IL17163
N00034165	Boland, Ray	R	WI03	H2WI03080
N00033524	Bolling, Daniel Wade	D	IN06	H2IN06221
N00033969	Boman, Daniel	D	AL04	H2AL04055
N00008519	Boman, Scotty	L	MIS2	S8MI00315
N00033474	Bonamici, Suzanne	D	OR01	H2OR01133
N00029882	Bond, Tanya Elizabeth	D	PA12	H8PA03100
N00033342	Bongino, Daniel	R	MDS1	S2MD00370
N00025330	Bonner, Jo	R	AL01	H2AL01077
